2025-08-16 16:12:02 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 16:14:35 | INFO     | voice_assistant.database | handle_passthru:517 | ✍️ Passthru: Updating database for CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:37 | INFO     | voice_assistant.database | handle_passthru:527 | ✅ Passthru: Database updated successfully for CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:37 | INFO     | voice_assistant.database | old_websocket_endpoint:1239 | Looking up customer data by CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:37 | INFO     | voice_assistant.database | old_websocket_endpoint:1256 | Looking up call session in database by CallSid: 07d798731a3c9b620c052f6e1282198g
2025-08-16 16:14:39 | INFO     | voice_assistant.database | old_websocket_endpoint:1273 | ✅ Found customer in database: Kushal
2025-08-16 16:57:14 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 16:58:14 | INFO     | voice_assistant.database | handle_passthru:568 | ✍️ Passthru: Updating database for CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:16 | INFO     | voice_assistant.database | handle_passthru:578 | ✅ Passthru: Database updated successfully for CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:16 | INFO     | voice_assistant.database | old_websocket_endpoint:1302 | Looking up customer data by CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:16 | INFO     | voice_assistant.database | old_websocket_endpoint:1319 | Looking up call session in database by CallSid: 12db7ae164d543539b1a5c9ac996198g
2025-08-16 16:58:17 | INFO     | voice_assistant.database | old_websocket_endpoint:1336 | ✅ Found customer in database: Kushal
2025-08-16 17:16:08 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:16:33 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:17:03 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:17:39 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:18:29 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:25:34 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:27:31 | INFO     | voice_assistant.database | handle_passthru:611 | ✍️ Passthru: Updating database for CallSid: da028f8a80f9b4cc33f3409e7dec198g
2025-08-16 17:27:33 | INFO     | voice_assistant.database | handle_passthru:621 | ✅ Passthru: Database updated successfully for CallSid: da028f8a80f9b4cc33f3409e7dec198g
2025-08-16 17:27:34 | INFO     | voice_assistant.database | old_websocket_endpoint:1357 | Looking up customer data by CallSid: da028f8a80f9b4cc33f3409e7dec198g
2025-08-16 17:27:34 | INFO     | voice_assistant.database | old_websocket_endpoint:1374 | Looking up call session in database by CallSid: da028f8a80f9b4cc33f3409e7dec198g
2025-08-16 17:27:35 | INFO     | voice_assistant.database | old_websocket_endpoint:1391 | ✅ Found customer in database: Kushal
2025-08-16 17:35:11 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:55:09 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 17:56:51 | INFO     | voice_assistant.database | handle_passthru:618 | ✍️ Passthru: Updating database for CallSid: c700555d8fda9a8b4fbc81a41011198g
2025-08-16 17:56:53 | INFO     | voice_assistant.database | handle_passthru:628 | ✅ Passthru: Database updated successfully for CallSid: c700555d8fda9a8b4fbc81a41011198g
2025-08-16 17:56:53 | INFO     | voice_assistant.database | old_websocket_endpoint:1512 | Looking up customer data by CallSid: c700555d8fda9a8b4fbc81a41011198g
2025-08-16 17:56:53 | INFO     | voice_assistant.database | old_websocket_endpoint:1529 | Looking up call session in database by CallSid: c700555d8fda9a8b4fbc81a41011198g
2025-08-16 17:56:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1546 | ✅ Found customer in database: Kushal
2025-08-16 18:03:06 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:05:57 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:13:27 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:19:13 | INFO     | voice_assistant.database | handle_passthru:650 | ✍️ Passthru: Updating database for CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:15 | INFO     | voice_assistant.database | handle_passthru:660 | ✅ Passthru: Database updated successfully for CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:15 | INFO     | voice_assistant.database | old_websocket_endpoint:1544 | Looking up customer data by CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:15 | INFO     | voice_assistant.database | old_websocket_endpoint:1561 | Looking up call session in database by CallSid: 483a348a4ec9655ed98fbfff0418198g
2025-08-16 18:19:16 | INFO     | voice_assistant.database | old_websocket_endpoint:1578 | ✅ Found customer in database: Kushal
2025-08-16 18:37:29 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 18:57:55 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 21:58:42 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:58:49 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:58:58 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:02 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:11 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:15 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:25 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 21:59:44 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-16 22:02:58 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 22:51:30 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 22:53:19 | INFO     | voice_assistant.database | handle_passthru:650 | ✍️ Passthru: Updating database for CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:21 | INFO     | voice_assistant.database | handle_passthru:660 | ✅ Passthru: Database updated successfully for CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:21 | INFO     | voice_assistant.database | old_websocket_endpoint:1544 | Looking up customer data by CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:21 | INFO     | voice_assistant.database | old_websocket_endpoint:1561 | Looking up call session in database by CallSid: 4a04f481c108c0716e2af76bbb28198g
2025-08-16 22:53:23 | INFO     | voice_assistant.database | old_websocket_endpoint:1578 | ✅ Found customer in database: Kushal
2025-08-16 22:55:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-16 22:56:31 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:01:24 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:02:38 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:09:06 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:09:44 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:09:54 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:14:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:26:15 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:26:57 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:28:30 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:32:07 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:33:01 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:35:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:39:18 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:42:47 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:46:16 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:49:29 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:50:44 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 01:52:04 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 12:12:02 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 12:40:45 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 12:43:59 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:06:28 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:11:04 | INFO     | voice_assistant.database | handle_passthru:517 | ✍️ Passthru: Updating database for CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:06 | INFO     | voice_assistant.database | handle_passthru:527 | ✅ Passthru: Database updated successfully for CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:06 | INFO     | voice_assistant.database | old_websocket_endpoint:1239 | Looking up customer data by CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:06 | INFO     | voice_assistant.database | old_websocket_endpoint:1256 | Looking up call session in database by CallSid: 815aadb9d2f00da861ff98d25752198h
2025-08-17 13:11:07 | INFO     | voice_assistant.database | old_websocket_endpoint:1273 | ✅ Found customer in database: Kushal
2025-08-17 13:15:52 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:16:31 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:20:54 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:32:50 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:33:24 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:33:58 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:34:13 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:40:08 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:41:22 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:42:23 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:43:15 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:45:01 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:46:41 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:46:52 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:47:03 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:00 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:18 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:40 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:54:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:55:03 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:55:13 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 13:55:53 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 14:43:06 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-17 15:08:38 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-17 18:47:52 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-17 18:52:34 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:21:53 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:22:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:23:00 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:39:00 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:40:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-18 03:41:09 | INFO     | voice_assistant.database | handle_passthru:599 | ✍️ Passthru: Updating database for CallSid: d16578ccec5608db38825a8a046e198i
2025-08-18 03:41:10 | INFO     | voice_assistant.database | handle_passthru:609 | ✅ Passthru: Database updated successfully for CallSid: d16578ccec5608db38825a8a046e198i
2025-08-18 03:41:11 | INFO     | voice_assistant.database | old_websocket_endpoint:1347 | Looking up customer data by CallSid: d16578ccec5608db38825a8a046e198i
2025-08-18 03:41:11 | INFO     | voice_assistant.database | old_websocket_endpoint:1364 | Looking up call session in database by CallSid: d16578ccec5608db38825a8a046e198i
2025-08-18 03:41:11 | INFO     | voice_assistant.database | old_websocket_endpoint:1381 | ✅ Found customer in database: Kushal
2025-08-19 23:05:16 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-19 23:43:31 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 00:46:06 | INFO     | voice_assistant.database | handle_passthru:574 | ✍️ Passthru: Updating database for CallSid: de17a58e9f0c2df0933db72b3cd5198k
2025-08-20 00:46:07 | INFO     | voice_assistant.database | handle_passthru:584 | ✅ Passthru: Database updated successfully for CallSid: de17a58e9f0c2df0933db72b3cd5198k
2025-08-20 00:46:07 | INFO     | voice_assistant.database | old_websocket_endpoint:1322 | Looking up customer data by CallSid: de17a58e9f0c2df0933db72b3cd5198k
2025-08-20 00:46:07 | INFO     | voice_assistant.database | old_websocket_endpoint:1339 | Looking up call session in database by CallSid: de17a58e9f0c2df0933db72b3cd5198k
2025-08-20 00:46:08 | INFO     | voice_assistant.database | old_websocket_endpoint:1356 | ✅ Found customer in database: Kushal
2025-08-20 00:47:47 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:14:05 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:14:32 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:15:04 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:15:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:24:18 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:24:47 | INFO     | voice_assistant.database | handle_passthru:580 | ✍️ Passthru: Updating database for CallSid: c9f090a308dd11d4c5282283a5a3198k
2025-08-20 01:24:48 | INFO     | voice_assistant.database | handle_passthru:590 | ✅ Passthru: Database updated successfully for CallSid: c9f090a308dd11d4c5282283a5a3198k
2025-08-20 01:24:48 | INFO     | voice_assistant.database | old_websocket_endpoint:1328 | Looking up customer data by CallSid: c9f090a308dd11d4c5282283a5a3198k
2025-08-20 01:24:48 | INFO     | voice_assistant.database | old_websocket_endpoint:1345 | Looking up call session in database by CallSid: c9f090a308dd11d4c5282283a5a3198k
2025-08-20 01:24:48 | INFO     | voice_assistant.database | old_websocket_endpoint:1362 | ✅ Found customer in database: Kushal
2025-08-20 01:27:48 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:28:36 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:29:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:31:27 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:31:43 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:32:15 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:48:43 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:49:09 | INFO     | voice_assistant.database | handle_passthru:585 | ✍️ Passthru: Updating database for CallSid: b3c83c2cc562bc1bc8b93acbdd4e198k
2025-08-20 01:49:09 | INFO     | voice_assistant.database | handle_passthru:595 | ✅ Passthru: Database updated successfully for CallSid: b3c83c2cc562bc1bc8b93acbdd4e198k
2025-08-20 01:49:09 | INFO     | voice_assistant.database | old_websocket_endpoint:1333 | Looking up customer data by CallSid: b3c83c2cc562bc1bc8b93acbdd4e198k
2025-08-20 01:49:09 | INFO     | voice_assistant.database | old_websocket_endpoint:1350 | Looking up call session in database by CallSid: b3c83c2cc562bc1bc8b93acbdd4e198k
2025-08-20 01:49:09 | INFO     | voice_assistant.database | old_websocket_endpoint:1367 | ✅ Found customer in database: Kushal
2025-08-20 01:51:00 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:51:09 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:51:25 | INFO     | voice_assistant.database | handle_passthru:574 | ✍️ Passthru: Updating database for CallSid: 631f458ae6c550ec271b0c1f406b198k
2025-08-20 01:51:25 | INFO     | voice_assistant.database | handle_passthru:584 | ✅ Passthru: Database updated successfully for CallSid: 631f458ae6c550ec271b0c1f406b198k
2025-08-20 01:51:26 | INFO     | voice_assistant.database | old_websocket_endpoint:1322 | Looking up customer data by CallSid: 631f458ae6c550ec271b0c1f406b198k
2025-08-20 01:51:26 | INFO     | voice_assistant.database | old_websocket_endpoint:1339 | Looking up call session in database by CallSid: 631f458ae6c550ec271b0c1f406b198k
2025-08-20 01:51:26 | INFO     | voice_assistant.database | old_websocket_endpoint:1356 | ✅ Found customer in database: Kushal
2025-08-20 01:55:37 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:55:46 | ERROR    | voice_assistant.database | lifespan:57 | Failed to establish database connection
2025-08-20 01:57:07 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:59:03 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 01:59:43 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 02:00:23 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 02:18:38 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 02:18:50 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 02:19:13 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 23:33:15 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 23:33:53 | INFO     | voice_assistant.database | handle_passthru:606 | ✍️ Passthru: Updating database for CallSid: 49086099649879b1c855c40df87c198k
2025-08-20 23:33:54 | INFO     | voice_assistant.database | handle_passthru:616 | ✅ Passthru: Database updated successfully for CallSid: 49086099649879b1c855c40df87c198k
2025-08-20 23:33:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1354 | Looking up customer data by CallSid: 49086099649879b1c855c40df87c198k
2025-08-20 23:33:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1371 | Looking up call session in database by CallSid: 49086099649879b1c855c40df87c198k
2025-08-20 23:33:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1388 | ✅ Found customer in database: Kushal
2025-08-20 23:39:51 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 23:57:25 | INFO     | voice_assistant.database | handle_passthru:606 | ✍️ Passthru: Updating database for CallSid: 1429152e327657c9b95be3f8ad8a198k
2025-08-20 23:57:26 | INFO     | voice_assistant.database | handle_passthru:616 | ✅ Passthru: Database updated successfully for CallSid: 1429152e327657c9b95be3f8ad8a198k
2025-08-20 23:58:28 | INFO     | voice_assistant.database | handle_passthru:606 | ✍️ Passthru: Updating database for CallSid: b652b26a92e0de4a28ded1ecfcf5198k
2025-08-20 23:58:30 | INFO     | voice_assistant.database | handle_passthru:616 | ✅ Passthru: Database updated successfully for CallSid: b652b26a92e0de4a28ded1ecfcf5198k
2025-08-20 23:59:17 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-20 23:59:43 | INFO     | voice_assistant.database | handle_passthru:606 | ✍️ Passthru: Updating database for CallSid: 37e4659f71d0f7d476a25acc4c8a198k
2025-08-20 23:59:44 | INFO     | voice_assistant.database | handle_passthru:616 | ✅ Passthru: Database updated successfully for CallSid: 37e4659f71d0f7d476a25acc4c8a198k
2025-08-21 00:00:09 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:09:07 | INFO     | voice_assistant.database | handle_passthru:574 | ✍️ Passthru: Updating database for CallSid: ffbbd09a9e8fbd213688d249b5a1198l
2025-08-21 00:09:08 | INFO     | voice_assistant.database | handle_passthru:584 | ✅ Passthru: Database updated successfully for CallSid: ffbbd09a9e8fbd213688d249b5a1198l
2025-08-21 00:10:09 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:10:35 | INFO     | voice_assistant.database | handle_passthru:574 | ✍️ Passthru: Updating database for CallSid: 7b2811b144dbd4531726f1d37c28198l
2025-08-21 00:10:36 | INFO     | voice_assistant.database | handle_passthru:584 | ✅ Passthru: Database updated successfully for CallSid: 7b2811b144dbd4531726f1d37c28198l
2025-08-21 00:10:36 | INFO     | voice_assistant.database | old_websocket_endpoint:1322 | Looking up customer data by CallSid: 7b2811b144dbd4531726f1d37c28198l
2025-08-21 00:10:36 | INFO     | voice_assistant.database | old_websocket_endpoint:1339 | Looking up call session in database by CallSid: 7b2811b144dbd4531726f1d37c28198l
2025-08-21 00:10:37 | INFO     | voice_assistant.database | old_websocket_endpoint:1356 | ✅ Found customer in database: Kushal
2025-08-21 00:47:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:48:11 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:48:21 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:48:47 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:48:57 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:53:44 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 00:54:07 | INFO     | voice_assistant.database | handle_passthru:606 | ✍️ Passthru: Updating database for CallSid: 1b144e05d96607a1082966259c16198l
2025-08-21 00:54:07 | INFO     | voice_assistant.database | handle_passthru:616 | ✅ Passthru: Database updated successfully for CallSid: 1b144e05d96607a1082966259c16198l
2025-08-21 00:54:08 | INFO     | voice_assistant.database | old_websocket_endpoint:1362 | Looking up customer data by CallSid: 1b144e05d96607a1082966259c16198l
2025-08-21 00:54:08 | INFO     | voice_assistant.database | old_websocket_endpoint:1379 | Looking up call session in database by CallSid: 1b144e05d96607a1082966259c16198l
2025-08-21 00:54:08 | INFO     | voice_assistant.database | old_websocket_endpoint:1396 | ✅ Found customer in database: Kushal
2025-08-21 00:57:45 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 01:06:43 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 01:07:17 | INFO     | voice_assistant.database | handle_passthru:615 | ✍️ Passthru: Updating database for CallSid: 254632c8cda2ccbf3864e8e9cd04198l
2025-08-21 01:07:19 | INFO     | voice_assistant.database | handle_passthru:625 | ✅ Passthru: Database updated successfully for CallSid: 254632c8cda2ccbf3864e8e9cd04198l
2025-08-21 01:07:19 | INFO     | voice_assistant.database | old_websocket_endpoint:1371 | Looking up customer data by CallSid: 254632c8cda2ccbf3864e8e9cd04198l
2025-08-21 01:07:19 | INFO     | voice_assistant.database | old_websocket_endpoint:1388 | Looking up call session in database by CallSid: 254632c8cda2ccbf3864e8e9cd04198l
2025-08-21 01:07:20 | INFO     | voice_assistant.database | old_websocket_endpoint:1405 | ✅ Found customer in database: Kushal
2025-08-21 01:10:40 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 01:11:07 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 01:12:52 | INFO     | voice_assistant.database | handle_passthru:615 | ✍️ Passthru: Updating database for CallSid: fa9d5eaff16b193938cdc5ae7b46198l
2025-08-21 01:12:53 | INFO     | voice_assistant.database | handle_passthru:625 | ✅ Passthru: Database updated successfully for CallSid: fa9d5eaff16b193938cdc5ae7b46198l
2025-08-21 01:12:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1371 | Looking up customer data by CallSid: fa9d5eaff16b193938cdc5ae7b46198l
2025-08-21 01:12:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1388 | Looking up call session in database by CallSid: fa9d5eaff16b193938cdc5ae7b46198l
2025-08-21 01:12:54 | INFO     | voice_assistant.database | old_websocket_endpoint:1405 | ✅ Found customer in database: Kushal
2025-08-21 01:14:25 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 02:04:49 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 02:05:48 | INFO     | voice_assistant.database | lifespan:54 | Database connection established
2025-08-21 02:06:05 | INFO     | voice_assistant.database | handle_passthru:615 | ✍️ Passthru: Updating database for CallSid: a6e32253b9717dbf64e5e128ab02198l
2025-08-21 02:06:06 | INFO     | voice_assistant.database | handle_passthru:625 | ✅ Passthru: Database updated successfully for CallSid: a6e32253b9717dbf64e5e128ab02198l
2025-08-21 02:06:07 | INFO     | voice_assistant.database | old_websocket_endpoint:1371 | Looking up customer data by CallSid: a6e32253b9717dbf64e5e128ab02198l
